dataset,prefix_length,prefix_length_name,encoding_type,generation_type,preprocessing_applied,total_feature_vectors,multiplication_ratio,f1_rf,f1_dt,accuracy_rf,accuracy_dt,CRP_original,CRP_encoded,CRP_change,10_original,10_encoded,10_change,IV Liquid_original,IV Liquid_encoded,IV Liquid_change,12_original,12_encoded,12_change,ER Sepsis Triage_original,ER Sepsis Triage_encoded,ER Sepsis Triage_change,LacticAcid_original,LacticAcid_encoded,LacticAcid_change,Release A_original,Release A_encoded,Release A_change,Release E_original,Release E_encoded,Release E_change,8_original,8_encoded,8_change,13_original,13_encoded,13_change,7_original,7_encoded,7_change,Leucocytes_original,Leucocytes_encoded,Leucocytes_change,2_original,2_encoded,2_change,IV Antibiotics_original,IV Antibiotics_encoded,IV Antibiotics_change,11_original,11_encoded,11_change,6_original,6_encoded,6_change,ER Triage_original,ER Triage_encoded,ER Triage_change,5_original,5_encoded,5_change,Admission NC_original,Admission NC_encoded,Admission NC_change,Release B_original,Release B_encoded,Release B_change,4_original,4_encoded,4_change,Return ER_original,Return ER_encoded,Return ER_change,Release D_original,Release D_encoded,Release D_change,0_original,0_encoded,0_change,1_original,1_encoded,1_change,Release C_original,Release C_encoded,Release C_change,9_original,9_encoded,9_change,3_original,3_encoded,3_change
SepsisCases,185,max,simple,only_this,False,840,1.0,0.8194547600859347,0.8647860076431506,0.8571428571428571,0.8666666666666667,3.9285714285714284,0,-3.9285714285714284,0,1.7857142857142856,1.7857142857142856,1.1904761904761905,0,-1.1904761904761905,0.0,0.5952380952380952,0.5952380952380952,3.8095238095238098,0,-3.8095238095238098,2.619047619047619,0,-2.619047619047619,37.142857142857146,0,-37.142857142857146,0.5952380952380952,0,-0.5952380952380952,0,37.142857142857146,37.142857142857146,0,28.452380952380953,28.452380952380953,0,4.285714285714286,4.285714285714286,4.285714285714286,0,-4.285714285714286,0.0,3.8095238095238098,3.8095238095238098,7.738095238095238,0,-7.738095238095238,0.0,1.1904761904761905,1.1904761904761905,0.0,2.619047619047619,2.619047619047619,0.2380952380952381,0,-0.2380952380952381,0.0,1.1904761904761905,1.1904761904761905,1.4285714285714286,0,-1.4285714285714286,5.595238095238096,0,-5.595238095238096,0,7.738095238095238,7.738095238095238,28.452380952380953,0,-28.452380952380953,1.1904761904761905,0,-1.1904761904761905,0.0,1.4285714285714286,1.4285714285714286,0.0,3.9285714285714284,3.9285714285714284,1.7857142857142856,0,-1.7857142857142856,0,5.595238095238096,5.595238095238096,0.0,0.2380952380952381,0.2380952380952381
SepsisCases,185,max,simple,only_this,True,684,1.0,0.6925220897823637,0.7986583452336877,0.7534246575342466,0.7945205479452054,3.9285714285714284,0,-3.9285714285714284,0,2.1929824561403506,2.1929824561403506,1.1904761904761905,0,-1.1904761904761905,0.0,0.7309941520467835,0.7309941520467835,3.8095238095238098,0,-3.8095238095238098,2.619047619047619,0,-2.619047619047619,37.142857142857146,0,-37.142857142857146,0.5952380952380952,0,-0.5952380952380952,0,41.37426900584795,41.37426900584795,0,33.47953216374269,33.47953216374269,0,2.4853801169590644,2.4853801169590644,4.285714285714286,0,-4.285714285714286,0.0,0.7309941520467835,0.7309941520467835,7.738095238095238,0,-7.738095238095238,0.0,1.461988304093567,1.461988304093567,0.0,1.461988304093567,1.461988304093567,0.2380952380952381,0,-0.2380952380952381,0.0,1.3157894736842104,1.3157894736842104,1.4285714285714286,0,-1.4285714285714286,5.595238095238096,0,-5.595238095238096,0,4.678362573099415,4.678362573099415,28.452380952380953,0,-28.452380952380953,1.1904761904761905,0,-1.1904761904761905,0.0,1.3157894736842104,1.3157894736842104,0.0,1.7543859649122806,1.7543859649122806,1.7857142857142856,0,-1.7857142857142856,0,6.725146198830409,6.725146198830409,0.0,0.29239766081871343,0.29239766081871343
SepsisCases,3,min,simple,all_in_one,False,2520,1.0,0.21749527397165766,0.20917196146751385,0.35555555555555557,0.3523809523809524,3.9285714285714284,0,-3.9285714285714284,0,1.7857142857142856,1.7857142857142856,1.1904761904761905,0,-1.1904761904761905,0.0,0.5952380952380952,0.5952380952380952,3.8095238095238098,0,-3.8095238095238098,2.619047619047619,0,-2.619047619047619,37.142857142857146,0,-37.142857142857146,0.5952380952380952,0,-0.5952380952380952,0,37.142857142857146,37.142857142857146,0,28.452380952380953,28.452380952380953,0,4.285714285714286,4.285714285714286,4.285714285714286,0,-4.285714285714286,0.0,3.8095238095238098,3.8095238095238098,7.738095238095238,0,-7.738095238095238,0.0,1.1904761904761905,1.1904761904761905,0.0,2.619047619047619,2.619047619047619,0.2380952380952381,0,-0.2380952380952381,0.0,1.1904761904761905,1.1904761904761905,1.4285714285714286,0,-1.4285714285714286,5.595238095238096,0,-5.595238095238096,0,7.738095238095238,7.738095238095238,28.452380952380953,0,-28.452380952380953,1.1904761904761905,0,-1.1904761904761905,0.0,1.4285714285714286,1.4285714285714286,0.0,3.9285714285714284,3.9285714285714284,1.7857142857142856,0,-1.7857142857142856,0,5.595238095238096,5.595238095238096,0.0,0.2380952380952381,0.2380952380952381
SepsisCases,3,min,frequency,all_in_one,False,2520,1.0,0.2092693756392028,0.21034685479129922,0.35873015873015873,0.3619047619047619,3.9285714285714284,0,-3.9285714285714284,0,1.7857142857142856,1.7857142857142856,1.1904761904761905,0,-1.1904761904761905,0.0,0.5952380952380952,0.5952380952380952,3.8095238095238098,0,-3.8095238095238098,2.619047619047619,0,-2.619047619047619,37.142857142857146,0,-37.142857142857146,0.5952380952380952,0,-0.5952380952380952,0,37.142857142857146,37.142857142857146,0,28.452380952380953,28.452380952380953,0,4.285714285714286,4.285714285714286,4.285714285714286,0,-4.285714285714286,0.0,3.8095238095238098,3.8095238095238098,7.738095238095238,0,-7.738095238095238,0.0,1.1904761904761905,1.1904761904761905,0.0,2.619047619047619,2.619047619047619,0.2380952380952381,0,-0.2380952380952381,0.0,1.1904761904761905,1.1904761904761905,1.4285714285714286,0,-1.4285714285714286,5.595238095238096,0,-5.595238095238096,0,7.738095238095238,7.738095238095238,28.452380952380953,0,-28.452380952380953,1.1904761904761905,0,-1.1904761904761905,0.0,1.4285714285714286,1.4285714285714286,0.0,3.9285714285714284,3.9285714285714284,1.7857142857142856,0,-1.7857142857142856,0,5.595238095238096,5.595238095238096,0.0,0.2380952380952381,0.2380952380952381
SepsisCases,3,min,complex,all_in_one,False,2520,1.0,0.47509225429916024,0.40878692129277616,0.47619047619047616,0.41904761904761906,3.9285714285714284,0,-3.9285714285714284,0,1.7857142857142856,1.7857142857142856,1.1904761904761905,0,-1.1904761904761905,0.0,0.5952380952380952,0.5952380952380952,3.8095238095238098,0,-3.8095238095238098,2.619047619047619,0,-2.619047619047619,37.142857142857146,0,-37.142857142857146,0.5952380952380952,0,-0.5952380952380952,0,37.142857142857146,37.142857142857146,0,28.452380952380953,28.452380952380953,0,4.285714285714286,4.285714285714286,4.285714285714286,0,-4.285714285714286,0.0,3.8095238095238098,3.8095238095238098,7.738095238095238,0,-7.738095238095238,0.0,1.1904761904761905,1.1904761904761905,0.0,2.619047619047619,2.619047619047619,0.2380952380952381,0,-0.2380952380952381,0.0,1.1904761904761905,1.1904761904761905,1.4285714285714286,0,-1.4285714285714286,5.595238095238096,0,-5.595238095238096,0,7.738095238095238,7.738095238095238,28.452380952380953,0,-28.452380952380953,1.1904761904761905,0,-1.1904761904761905,0.0,1.4285714285714286,1.4285714285714286,0.0,3.9285714285714284,3.9285714285714284,1.7857142857142856,0,-1.7857142857142856,0,5.595238095238096,5.595238095238096,0.0,0.2380952380952381,0.2380952380952381
SepsisCases,14,avg,simple,all_in_one,False,9596,4.666666666666667,0.3396553316970974,0.31996556066702386,0.40599455040871935,0.3823796548592189,3.9285714285714284,0,-3.9285714285714284,0,2.1050437682367655,2.1050437682367655,1.1904761904761905,0,-1.1904761904761905,0.0,0.6877865777407253,0.6877865777407253,3.8095238095238098,0,-3.8095238095238098,2.619047619047619,0,-2.619047619047619,37.142857142857146,0,-37.142857142857146,0.5952380952380952,0,-0.5952380952380952,0,40.98582742809504,40.98582742809504,0,33.368070029178824,33.368070029178824,0,2.7094622759483116,2.7094622759483116,4.285714285714286,0,-4.285714285714286,0.0,1.1984160066694456,1.1984160066694456,7.738095238095238,0,-7.738095238095238,0.0,1.4276781992496874,1.4276781992496874,0.0,1.7298874531054604,1.7298874531054604,0.2380952380952381,0,-0.2380952380952381,0.0,0.8441017090454356,0.8441017090454356,1.4285714285714286,0,-1.4285714285714286,5.595238095238096,0,-5.595238095238096,0,5.356398499374739,5.356398499374739,28.452380952380953,0,-28.452380952380953,1.1904761904761905,0,-1.1904761904761905,0.0,1.1046269278866194,1.1046269278866194,0.0,2.1363067944977074,2.1363067944977074,1.7857142857142856,0,-1.7857142857142856,0,6.190079199666528,6.190079199666528,0.0,0.1563151313047103,0.1563151313047103
SepsisCases,14,avg,frequency,all_in_one,False,9596,4.666666666666667,0.312805617470774,0.31933751411703887,0.4150772025431426,0.42779291553133514,3.9285714285714284,0,-3.9285714285714284,0,2.1050437682367655,2.1050437682367655,1.1904761904761905,0,-1.1904761904761905,0.0,0.6877865777407253,0.6877865777407253,3.8095238095238098,0,-3.8095238095238098,2.619047619047619,0,-2.619047619047619,37.142857142857146,0,-37.142857142857146,0.5952380952380952,0,-0.5952380952380952,0,40.98582742809504,40.98582742809504,0,33.368070029178824,33.368070029178824,0,2.7094622759483116,2.7094622759483116,4.285714285714286,0,-4.285714285714286,0.0,1.1984160066694456,1.1984160066694456,7.738095238095238,0,-7.738095238095238,0.0,1.4276781992496874,1.4276781992496874,0.0,1.7298874531054604,1.7298874531054604,0.2380952380952381,0,-0.2380952380952381,0.0,0.8441017090454356,0.8441017090454356,1.4285714285714286,0,-1.4285714285714286,5.595238095238096,0,-5.595238095238096,0,5.356398499374739,5.356398499374739,28.452380952380953,0,-28.452380952380953,1.1904761904761905,0,-1.1904761904761905,0.0,1.1046269278866194,1.1046269278866194,0.0,2.1363067944977074,2.1363067944977074,1.7857142857142856,0,-1.7857142857142856,0,6.190079199666528,6.190079199666528,0.0,0.1563151313047103,0.1563151313047103
SepsisCases,14,avg,complex,all_in_one,False,9596,4.666666666666667,0.4820256296226527,0.30058220636804595,0.5122615803814714,0.3069936421435059,3.9285714285714284,0,-3.9285714285714284,0,2.1050437682367655,2.1050437682367655,1.1904761904761905,0,-1.1904761904761905,0.0,0.6877865777407253,0.6877865777407253,3.8095238095238098,0,-3.8095238095238098,2.619047619047619,0,-2.619047619047619,37.142857142857146,0,-37.142857142857146,0.5952380952380952,0,-0.5952380952380952,0,40.98582742809504,40.98582742809504,0,33.368070029178824,33.368070029178824,0,2.7094622759483116,2.7094622759483116,4.285714285714286,0,-4.285714285714286,0.0,1.1984160066694456,1.1984160066694456,7.738095238095238,0,-7.738095238095238,0.0,1.4276781992496874,1.4276781992496874,0.0,1.7298874531054604,1.7298874531054604,0.2380952380952381,0,-0.2380952380952381,0.0,0.8441017090454356,0.8441017090454356,1.4285714285714286,0,-1.4285714285714286,5.595238095238096,0,-5.595238095238096,0,5.356398499374739,5.356398499374739,28.452380952380953,0,-28.452380952380953,1.1904761904761905,0,-1.1904761904761905,0.0,1.1046269278866194,1.1046269278866194,0.0,2.1363067944977074,2.1363067944977074,1.7857142857142856,0,-1.7857142857142856,0,6.190079199666528,6.190079199666528,0.0,0.1563151313047103,0.1563151313047103
SepsisCases,185,max,simple,all_in_one,False,12121,56.666666666666664,0.3643927819107702,0.3412293696273481,0.41592312971859985,0.37748798901853126,3.9285714285714284,0,-3.9285714285714284,0,1.9552842174738059,1.9552842174738059,1.1904761904761905,0,-1.1904761904761905,0.0,0.8167642933751341,0.8167642933751341,3.8095238095238098,0,-3.8095238095238098,2.619047619047619,0,-2.619047619047619,37.142857142857146,0,-37.142857142857146,0.5952380952380952,0,-0.5952380952380952,0,39.419189835822124,39.419189835822124,0,35.82212688722053,35.82212688722053,0,2.28528999257487,2.28528999257487,4.285714285714286,0,-4.285714285714286,0.0,0.9487666034155597,0.9487666034155597,7.738095238095238,0,-7.738095238095238,0.0,2.1945384044220773,2.1945384044220773,0.0,1.4520254104446828,1.4520254104446828,0.2380952380952381,0,-0.2380952380952381,0.0,0.6682616945796551,0.6682616945796551,1.4285714285714286,0,-1.4285714285714286,5.595238095238096,0,-5.595238095238096,0,4.240574210048676,4.240574210048676,28.452380952380953,0,-28.452380952380953,1.1904761904761905,0,-1.1904761904761905,0.0,0.8745153040178203,0.8745153040178203,0.0,1.6912795973929542,1.6912795973929542,1.7857142857142856,0,-1.7857142857142856,0,7.507631383549213,7.507631383549213,0.0,0.12375216566289911,0.12375216566289911
SepsisCases,185,max,frequency,all_in_one,False,12121,56.666666666666664,0.3440182517272764,0.3359166749449295,0.40768702814001373,0.4070006863417982,3.9285714285714284,0,-3.9285714285714284,0,1.9552842174738059,1.9552842174738059,1.1904761904761905,0,-1.1904761904761905,0.0,0.8167642933751341,0.8167642933751341,3.8095238095238098,0,-3.8095238095238098,2.619047619047619,0,-2.619047619047619,37.142857142857146,0,-37.142857142857146,0.5952380952380952,0,-0.5952380952380952,0,39.419189835822124,39.419189835822124,0,35.82212688722053,35.82212688722053,0,2.28528999257487,2.28528999257487,4.285714285714286,0,-4.285714285714286,0.0,0.9487666034155597,0.9487666034155597,7.738095238095238,0,-7.738095238095238,0.0,2.1945384044220773,2.1945384044220773,0.0,1.4520254104446828,1.4520254104446828,0.2380952380952381,0,-0.2380952380952381,0.0,0.6682616945796551,0.6682616945796551,1.4285714285714286,0,-1.4285714285714286,5.595238095238096,0,-5.595238095238096,0,4.240574210048676,4.240574210048676,28.452380952380953,0,-28.452380952380953,1.1904761904761905,0,-1.1904761904761905,0.0,0.8745153040178203,0.8745153040178203,0.0,1.6912795973929542,1.6912795973929542,1.7857142857142856,0,-1.7857142857142856,0,7.507631383549213,7.507631383549213,0.0,0.12375216566289911,0.12375216566289911
