dataset,prefix_length,prefix_length_name,encoding_type,generation_type,preprocessing_applied,total_feature_vectors,multiplication_ratio,f1_rf,f1_dt,accuracy_rf,accuracy_dt,6_original,6_encoded,6_change,Send Appeal to Prefecture_original,Send Appeal to Prefecture_encoded,Send Appeal to Prefecture_change,2_original,2_encoded,2_change,5_original,5_encoded,5_change,Send Fine_original,Send Fine_encoded,Send Fine_change,0_original,0_encoded,0_change,Send for Credit Collection_original,Send for Credit Collection_encoded,Send for Credit Collection_change,Appeal to Judge_original,Appeal to Judge_encoded,Appeal to Judge_change,Notify Result Appeal to Offender_original,Notify Result Appeal to Offender_encoded,Notify Result Appeal to Offender_change,4_original,4_encoded,4_change,Receive Result Appeal from Prefecture_original,Receive Result Appeal from Prefecture_encoded,Receive Result Appeal from Prefecture_change,Payment_original,Payment_encoded,Payment_change,1_original,1_encoded,1_change,3_original,3_encoded,3_change
Road_Traffic_Fine_Management_Process,20,max,simple,only_this,False,120296,1.0,0.9987084159813826,0.9987887988887992,0.9988029527166323,0.998869455343486,0.0,37.5149630910421,37.5149630910421,2.128915342156015,0,-2.128915342156015,0,45.5185542328922,45.5185542328922,0,14.661335372747223,14.661335372747223,14.661335372747223,0,-14.661335372747223,0.0,0.08063443506018488,0.08063443506018488,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,2.128915342156015,2.128915342156015,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.059021081332712645,0.059021081332712645,0.0,0.0365764447695684,0.0365764447695684
Road_Traffic_Fine_Management_Process,20,max,simple,only_this,True,182,1.0,0.6371191135734072,0.832118758434548,0.7105263157894737,0.8421052631578947,0.0,19.230769230769234,19.230769230769234,2.128915342156015,0,-2.128915342156015,0,50.0,50.0,0,2.7472527472527473,2.7472527472527473,14.661335372747223,0,-14.661335372747223,0.0,6.043956043956044,6.043956043956044,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,12.637362637362637,12.637362637362637,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,6.043956043956044,6.043956043956044,0.0,3.296703296703297,3.296703296703297
Road_Traffic_Fine_Management_Process,2,min,simple,all_in_one,False,240592,1.0,0.4964954275991407,0.4964954275991407,0.5410321207687704,0.5410321207687704,0.0,37.5149630910421,37.5149630910421,2.128915342156015,0,-2.128915342156015,0,45.5185542328922,45.5185542328922,0,14.661335372747223,14.661335372747223,14.661335372747223,0,-14.661335372747223,0.0,0.08063443506018488,0.08063443506018488,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,2.128915342156015,2.128915342156015,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.059021081332712645,0.059021081332712645,0.0,0.0365764447695684,0.0365764447695684
Road_Traffic_Fine_Management_Process,2,min,frequency,all_in_one,False,240592,1.0,0.4964954275991407,0.4964954275991407,0.5410321207687704,0.5410321207687704,0.0,37.5149630910421,37.5149630910421,2.128915342156015,0,-2.128915342156015,0,45.5185542328922,45.5185542328922,0,14.661335372747223,14.661335372747223,14.661335372747223,0,-14.661335372747223,0.0,0.08063443506018488,0.08063443506018488,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,2.128915342156015,2.128915342156015,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.059021081332712645,0.059021081332712645,0.0,0.0365764447695684,0.0365764447695684
Road_Traffic_Fine_Management_Process,2,min,complex,all_in_one,False,240592,1.0,0.9940195165782637,0.9964718402860124,0.9945800359114185,0.9964753607767507,0.0,37.5149630910421,37.5149630910421,2.128915342156015,0,-2.128915342156015,0,45.5185542328922,45.5185542328922,0,14.661335372747223,14.661335372747223,14.661335372747223,0,-14.661335372747223,0.0,0.08063443506018488,0.08063443506018488,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,2.128915342156015,2.128915342156015,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.059021081332712645,0.059021081332712645,0.0,0.0365764447695684,0.0365764447695684
Road_Traffic_Fine_Management_Process,3,avg,simple,all_in_one,False,304428,1.5,0.5579561351571148,0.5579561351571148,0.5899905665061318,0.5899905665061318,0.0,44.47258465055776,44.47258465055776,2.128915342156015,0,-2.128915342156015,0,41.129265376377994,41.129265376377994,0,11.665484121040116,11.665484121040116,14.661335372747223,0,-14.661335372747223,0.0,0.0955891048129607,0.0955891048129607,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,2.523749457999921,2.523749457999921,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.06996728290433206,0.06996728290433206,0.0,0.04336000630691001,0.04336000630691001
Road_Traffic_Fine_Management_Process,3,avg,frequency,all_in_one,False,304428,1.5,0.5573165170310659,0.5573165170310659,0.5902139913609056,0.5902139913609056,0.0,44.47258465055776,44.47258465055776,2.128915342156015,0,-2.128915342156015,0,41.129265376377994,41.129265376377994,0,11.665484121040116,11.665484121040116,14.661335372747223,0,-14.661335372747223,0.0,0.0955891048129607,0.0955891048129607,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,2.523749457999921,2.523749457999921,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.06996728290433206,0.06996728290433206,0.0,0.04336000630691001,0.04336000630691001
Road_Traffic_Fine_Management_Process,3,avg,complex,all_in_one,False,304428,1.5,0.9939139509202287,0.995608149973414,0.9944640285983815,0.9956059778561144,0.0,44.47258465055776,44.47258465055776,2.128915342156015,0,-2.128915342156015,0,41.129265376377994,41.129265376377994,0,11.665484121040116,11.665484121040116,14.661335372747223,0,-14.661335372747223,0.0,0.0955891048129607,0.0955891048129607,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,2.523749457999921,2.523749457999921,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.06996728290433206,0.06996728290433206,0.0,0.04336000630691001,0.04336000630691001
Road_Traffic_Fine_Management_Process,20,max,simple,all_in_one,False,440797,10.0,0.6729305533292949,0.6730304109284128,0.6911136179475365,0.6911612831471743,0.0,51.70429925793506,51.70429925793506,2.128915342156015,0,-2.128915342156015,0,36.400202360723874,36.400202360723874,0,8.057677343539089,8.057677343539089,14.661335372747223,0,-14.661335372747223,0.0,0.1667434215750107,0.1667434215750107,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,3.4737078519136926,3.4737078519136926,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.12795005410653884,0.12795005410653884,0.0,0.06941971020673915,0.06941971020673915
Road_Traffic_Fine_Management_Process,20,max,frequency,all_in_one,False,440797,10.0,0.671220084481896,0.6712466417709032,0.6901285371550231,0.6901285371550231,0.0,51.70429925793506,51.70429925793506,2.128915342156015,0,-2.128915342156015,0,36.400202360723874,36.400202360723874,0,8.057677343539089,8.057677343539089,14.661335372747223,0,-14.661335372747223,0.0,0.1667434215750107,0.1667434215750107,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,3.4737078519136926,3.4737078519136926,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.12795005410653884,0.12795005410653884,0.0,0.06941971020673915,0.06941971020673915
